hip,name,bayer,flamsteed
88,,τ,
122,,θ,
145,,,29
154,,,30
171,,,85
183,,ζ,
186,,,31
194,,,32
301,,,2
330,,,9
355,,,3
443,,,33
476,,,86
531,,,10
635,,,4
664,,,5
677,Alpheratz,α,21
729,,,87
746,Caph,β,11
761,,κ¹,
765,,ε,
813,,,34
814,,γ³,
841,,,22
910,,,6
930,,κ²,
950,,θ,
1067,Algenib,γ,88
1086,,,23
1168,,χ,89
1170,,,7
1196,,,35
1319,,,36
1366,,θ,24
1392,,,38
1473,,σ,25
1501,,,26
1547,Citadelle,,
1562,,ι,8
1595,,,40
1599,,ζ,
1645,,,41
1647,,π,
1686,,ρ,27
1708,,ι,
1772,,,42
1803,,,9
1960,,,12
2006,,,44
2021,,β,
2025,,,45
2072,,κ,
2081,Ankaa,α,
2100,,,10
2210,,η,
2213,,,46
2219,,,47
2224,,,48
2247,Felixvarela,,
2353,,,12
2355,,,28
2472,,λ¹,
2474,,,13
2484,,β¹,
2487,,β²,
2505,,λ,14
2548,,,51
2568,,,52
2578,,β³,
2599,,κ,15
2629,,θ,
2707,,,16
2762,,,13
2787,,,14
2802,,λ²,
2903,,,53
2912,,π,29
2920,Fulu,ζ,17
2994,,,15
3031,,ε,30
3092,,δ,31
3093,,,54
3138,,,55
3179,Schedar,α,18
3231,,,32
3245,,μ,
3277,,ξ,
3300,,ξ,19
3330,,ρ,
3356,,λ¹,
3405,,η,
3414,,π,20
3419,Diphda,β,16
3455,,φ¹,17
3456,,λ²,
3478,,,68
3479,Cocibolca,,
3504,,ο,22
3559,,,18
3572,,,21
3632,,,57
3675,,,58
3685,,,59
3693,,ζ,34
3697,,,60
3721,,,23
3730,,,61
3760,,,62
3781,,λ,
3786,,δ,63
3801,,ν,25
3810,,,64
3821,Achird,η,24
3881,,ν,35
3885,,,65
3909,,φ²,19
3949,,ρ,
4084,,λ¹,
4147,,,20
4257,,,21
4267,,,66
4288,,,36
4292,,υ¹,26
4293,,λ²,
4366,,,67
4371,,φ³,22
4422,Castula,υ²,28
4427,,γ,27
4436,,μ,37
4463,,η,38
4510,,,68
4577,,α,
4587,,φ⁴,23
4770,,ξ,
4829,,ω,
4843,,υ,
4852,,σ,
4889,,σ,69
4903,,,39
4906,,ε,71
4914,,,25
4979,,,26
5054,Nenque,,
5074,,,73
5081,,,72
5121,,,27
5131,,ψ¹,74
5132,,ψ¹,74
5141,,,77
5144,,,77
5164,,,28
5165,,β,
5175,,,76
5204,,,75
5268,,ι,
5296,,,30
5300,,υ,
5310,,ψ²,79
5315,,,29
5317,,,41
5319,,,78
5336,,μ,30
5346,,,80
5348,Wurren,ζ,
5364,,η,31
5372,,,2
5434,,φ,42
5447,Mirach,β,43
5454,,ψ³,81
5485,,,32
5493,,,44
5510,,,33
5518,,,31
5529,Emiw,,
5542,,θ,33
5544,,,82
5550,,,45
5571,,χ,84
5586,,τ,83
