open_ngc_name,English,French,Farsi,zh-CN
IC0348,Omi Per Cloud,Omi Per Cloud,,英仙o星云
IC0349,Barnard's Merope Nebula,Nébuleuse de Mérope de Barnard,,巴纳德昴宿五星云
IC0405,Flaming Star Nebula,Nébuleuse de l'Étoile Flamboyante,,烽火恒星云
IC0434,"Flame Nebula, Orion B",Nébuleuse de la Flamme,,火焰星云
IC0443,Gem A,Gem A,,水母星云
IC1318,Gamma Cygni Nebula,Nébuleuse de Gamma Cygni,,天津一星云
IC2220,Toby Jug Nebula,Nébuleuse du Papillon,,托比壶星云
IC2391,Omicron Velorum Cluster,Amas d'Omicron Velorum,,船帆座o星团
IC2431 NED02,Browning,Browning,,布朗宁星系
IC2574,Coddington's Nebula,Nébuleuse de Coddington,,科丁顿星云
IC2602,Theta Carinae Cluster,Pléiades du Sud,,南天七姐妹星团
IC2944,lam Cen Nebula,lam Cen Nebula,,半人马λ星云
IC4604,rho Oph Nebula,rho Oph Nebula,,心宿增四星云
IC4703,"Eagle Nebula, Star Queen",Nébuleuse de l'Aigle,,鹰状星云
IC4715,Small Sagittarius Star Cloud,Small Sagittarius Star Cloud,,人马座恒星云
IC5070,Pelican Nebula,Nébuleuse du Pélican,,鹈鹕星云
IC5146,Cocoon Nebula,Nébuleuse du Cocon,,茧状星云
NGC0040,Bow-Tie nebula,Nébuleuse du Noeud Papillon,,蝴蝶结星云
NGC0104,47 Tucanae,47 du Toucan,,杜鹃座47
NGC0224,Andromeda Galaxy,Galaxie d'andromède,,仙女星系
NGC0246,"Skull Nebula, Caldwell 56",Nébuleuse du Crâne,,骷髅头星云
NGC0253,Sculptor Galaxy,Galaxie du Sculpteur,,银币星系
NGC0292,Small Magellanic Cloud,Petit Nuage de Magellan,,小麦哲伦云
NGC0457,Owl Cluster,Amas de la Chouette,,猫头鹰星团
NGC0598,"Triangulum Galaxy, Triangulum Pinwheel",Galaxie du Triangle,,三角星系
NGC0650,"Barbell Nebula, Cork Nebula, Little Dumbbell Nebula",Nébuleuse du petit Haltère,,小哑铃星云
NGC0869,h Persei Cluster,h Persei Cluster,,英仙h星团
NGC0884,chi Persei Cluster,Double amas de Persée,,英仙χ星团
NGC1049,Fornax Dwarf Cluster 3,Fornax Dwarf Cluster 3,,天炉矮星系球状星团3
NGC1275,Perseus A,Perseus A,,英仙座A
NGC1316,Fornax A,Fourneau A,,天炉座A
NGC1317,Fornax B,Fourneau B,,天炉座B
NGC1432,Maia Nebula,Nébuleuse de Maïa,,昴宿四星云
NGC1435,Merope Nebula,Nébuleuse de Mérope,,昴宿五星云
NGC1499,California Nebula,Nébuleuse Californie,,加利福尼亚星云
NGC1555,"Hind's Nebula, Hind's Variable Nebula",Nébuleuse de Hind,,欣德星云
NGC1909,the Witch Head Nebula,Nébuleuse de la Tête de Sorcière,,女巫头星云
