open_ngc_name,English,English
IC0348,Omi Per Cloud,Omi Per Cloud
IC0349,Barnard's Merope Nebula,Barnard's Merope Nebula
IC0405,Flaming Star Nebula,Flaming Star Nebula
IC0434,"Flame Nebula, Orion B","Flame Nebula, Orion B"
IC0443,Gem A,Gem A
IC1318,Gamma Cygni Nebula,Gamma Cygni Nebula
IC2220,Toby Jug Nebula,Toby Jug Nebula
IC2391,Omicron Velorum Cluster,Omicron Velorum Cluster
IC2431 NED02,Browning,Browning
IC2574,Coddington's Nebula,Coddington's Nebula
IC2602,Theta Carinae Cluster,Theta Carinae Cluster
IC2944,lam Cen Nebula,lam Cen Nebula
IC4604,rho Oph Nebula,rho Oph Nebula
IC4703,"Eagle Nebula, Star Queen","Eagle Nebula, Star Queen"
IC4715,Small Sagittarius Star Cloud,Small Sagittarius Star Cloud
IC5070,Pelican Nebula,Pelican Nebula
IC5146,Cocoon Nebula,Cocoon Nebula
NGC0040,Bow-Tie nebula,Bow-Tie nebula
NGC0104,47 Tucanae,47 Tucanae
NGC0224,Andromeda Galaxy,Andromeda Galaxy
NGC0246,"Skull Nebula, Caldwell 56",Skull Nebula
NGC0253,Sculptor Galaxy,Sculptor Galaxy
NGC0292,Small Magellanic Cloud,Small Magellanic Cloud
NGC0457,Owl Cluster,Owl Cluster
NGC0598,"Triangulum Galaxy, Triangulum Pinwheel",Triangulum Galaxy
NGC0650,"Barbell Nebula, Cork Nebula, Little Dumbbell Nebula",Barbell Nebula
NGC0869,h Persei Cluster,h Persei Cluster
NGC0884,chi Persei Cluster,chi Persei Cluster
NGC1049,Fornax Dwarf Cluster 3,Fornax Dwarf Cluster 3
NGC1275,Perseus A,Perseus A
NGC1316,Fornax A,Fornax A
NGC1317,Fornax B,Fornax B
NGC1432,Maia Nebula,Maia Nebula
NGC1435,Merope Nebula,Merope Nebula
NGC1499,California Nebula,California Nebula
NGC1555,"Hind's Nebula, Hind's Variable Nebula",Hind's Variable Nebula
NGC1909,the Witch Head Nebula,The Witch Head Nebula
NGC1952,Crab Nebula,Crab Nebula
NGC1976,"Great Orion Nebula, Orion Nebula",Orion Nebula
NGC1977,the Running Man Nebula,the Running Man Nebula
NGC1980,Lower Sword,Lower Sword
NGC1981,Upper Sword,Upper Sword
NGC1982,Mairan's Nebula,Mairan's Nebula
NGC1990,Alnilam,Alnilam
NGC2070,"30 Dor Cluster, Tarantula Nebula",Tarantula Nebula
NGC2174,Monkey Head Nebula,Monkey Head Nebula
NGC2237,Rosette A,Rosette A
NGC2238,Rosette Nebula,Rosette Nebula
NGC2246,Rosette B,Rosette B
NGC2261,Hubble's Nebula,Hubble's Nebula
NGC2264,Christmas Tree Cluster,Christmas Tree Cluster
NGC2301,Great Bird Cluster,Great Bird Cluster
NGC2360,Caroline's Cluster,Caroline's Cluster
NGC2392,Eskimo Nebula,Eskimo Nebula
NGC2537,"Bear Claw Nebula, Bear-Paw Galaxy","Bear Claw Nebula, Bear-Paw Galaxy"
NGC2573,Polarissima Australis,Polarissima Australis
NGC2632,"Beehive, Praesepe Cluster",Beehive
NGC2685,Helix Galaxy,Helix Galaxy
NGC2736,Pencil Nebula,Pencil Nebula
NGC3031,Bode's Galaxy,Bode's Galaxy
NGC3034,Cigar Galaxy,Cigar Galaxy
NGC3115,Spindle Galaxy,Spindle Galaxy
NGC3132,Eight-Burst Nebula,Eight-Burst Nebula
NGC3172,Polarissima Borealis,Polarissima Borealis
NGC3242,Jupiter's Ghost Nebula,Jupiter's Ghost Nebula
NGC3372,"Carina Nebula, eta Car Nebula",Carina Nebula
NGC3532,Wishing Well Cluster,Wishing Well Cluster
NGC3561,the Guitar,The Guitar
NGC3587,Owl Nebula,Owl Nebula
NGC3766,Pearl Cluster,Pearl Cluster
