iau_id,English,Español
and,Andromeda,Andrómeda
ant,Antlia,Antlia
aps,Apus,Apus
aql,Aquila,Aquila
aqr,Aquarius,Acuario
ara,Ara,Ara
ari,Aries,Aries
aur,Auriga,Auriga
boo,Bootes,Bootes
cae,Caelum,Caelum
cam,Camelopardalis,Camelopardalis
cap,Capricornus,Capricornio
car,Carina,Carina
cas,Cassiopeia,Casiopea
cen,Centaurus,Centaurus
cep,Cepheus,Cepheus
cet,Cetus,Cetus
cha,Chamaeleon,Chamaeleon
cir,Circinus,Circinus
cma,Canis Major,Canis Major
cmi,Canis Minor,Canis Minor
cnc,Cancer,Cáncer
col,Columba,Columba
com,Coma Berenices,Coma Berenices
cra,Corona Australis,Corona Australis
crb,Corona Borealis,Corona Borealis
crt,Crater,Crater
cru,Crux,Crux
crv,Corvus,Corvus
cvn,Canes Venatici,Canes Venatici
cyg,Cygnus,Cygnus
del,Delphinus,Delphinus
dor,Dorado,Dorado
dra,Draco,Draco
equ,Equuleus,Equuleus
eri,Eridanus,Eridanus
for,Fornax,Fornax
gem,Gemini,Géminis
gru,Grus,Grus
her,Hercules,Hércules
hor,Horologium,Horologium
hya,Hydra,Hydra
hyi,Hydrus,Hydrus
ind,Indus,Indus
lac,Lacerta,Lacerta
leo,Leo,Leo
lep,Lepus,Lepus
lib,Libra,Libra
lmi,Leo Minor,Leo Minor
lup,Lupus,Lupus
lyn,Lynx,Lynx
lyr,Lyra,Lyra
men,Mensa,Mensa
mic,Microscopium,Microscopium
mon,Monoceros,Monoceros
mus,Musca,Musca
nor,Norma,Norma
oct,Octans,Octans
oph,Ophiuchus,Ophiuchus
ori,Orion,Orión
pav,Pavo,Pavo
peg,Pegasus,Pegaso
per,Perseus,Perseo
phe,Phoenix,Phoenix
pic,Pictor,Pictor
psa,Piscis Austrinus,Piscis Austrinus
psc,Pisces,Piscis
pup,Puppis,Puppis
pyx,Pyxis,Pyxis
ret,Reticulum,Reticulum
scl,Sculptor,Sculptor
sco,Scorpius,Escorpio
sct,Scutum,Scutum
ser1,Serpens Caput,Serpens Caput
ser2,Serpens Cauda,Serpens Cauda
sex,Sextans,Sextans
sge,Sagitta,Sagitta
sgr,Sagittarius,Sagitario
tau,Taurus,Tauro
tel,Telescopium,Telescopium
tra,Triangulum Australe,Triangulum Australe
tri,Triangulum,Triangulum
tuc,Tucana,Tucana
uma,Ursa Major,Osa Mayor
umi,Ursa Minor,Osa Menor
vel,Vela,Vela
vir,Virgo,Virgo
vol,Volans,Volans
vul,Vulpecula,Vulpecula
