open_ngc_name,English,Español
IC0348,Omi Per Cloud,Nube Omi Per
IC0349,Barnard's Merope Nebula,Nebulosa Merope de Barnard
IC0405,Flaming Star Nebula,Nebulosa Estrella Llameante
IC0434,"Flame Nebula, Orion B","Nebulosa Flama, Orion B"
IC0443,Gem A,Gem A
IC1318,Gamma Cygni Nebula,Nebulosa Gamma Cygni
IC2220,Toby Jug Nebula,Nebulosa Jarra Toby
IC2391,Omicron Velorum Cluster,Cúmulo Omicron Velorum
IC2431 NED02,Browning,Galaxias Browning
IC2574,Coddington's Nebula,Nebulosa Coddington
IC2602,Theta Carinae Cluster,Cúmulo Theta Carinae
IC2944,lam Cen Nebula,Nebulosa lambda Centauri
IC4604,rho Oph Nebula,Nebulosa rho Ophiuchi
IC4703,"Eagle Nebula, Star Queen","Nebulosa del Águila, Estrella Reina"
IC4715,Small Sagittarius Star Cloud,Pequeña Nube Estelar de Sagittarius
IC5070,Pelican Nebula,Nebulosa Pelícano
IC5146,Cocoon Nebula,Nebulosa Capullo
NGC0040,Bow-Tie nebula,Nebulosa Moño de Corbata
NGC0104,47 Tucanae,47 Tucanae
NGC0224,Andromeda Galaxy,Galaxia de Andrómeda
NGC0246,"Skull Nebula, Caldwell 56",Nebulosa Cráneo
NGC0253,Sculptor Galaxy,Galaxia de Sculptor
NGC0292,Small Magellanic Cloud,Pequeña Nube de Magallanes
NGC0457,Owl Cluster,Cúmulo Búho
NGC0598,"Triangulum Galaxy, Triangulum Pinwheel",Galaxia Triangulum
NGC0650,"Barbell Nebula, Cork Nebula, Little Dumbbell Nebula",Nebulosa Barbell
NGC0869,h Persei Cluster,Cúmulo h Persei
NGC0884,chi Persei Cluster,Cúmulo chi Persei
NGC1049,Fornax Dwarf Cluster 3,Cúmulo Enano Fornax 3
NGC1275,Perseus A,Perseus A
NGC1316,Fornax A,Fornax A
NGC1317,Fornax B,Fornax B
NGC1432,Maia Nebula,Nebulosa Maia
NGC1435,Merope Nebula,Nebulosa Merope
NGC1499,California Nebula,Nebulosa de California
NGC1555,"Hind's Nebula, Hind's Variable Nebula",Nebulosa Variable de Hind
NGC1909,the Witch Head Nebula,Nebulosa Cabeza de Bruja
NGC1952,Crab Nebula,Nebulosa del Cangrejo
NGC1976,"Great Orion Nebula, Orion Nebula",Grean Nebulosa de Orión
NGC1977,the Running Man Nebula,Nebulosa del Hombre Corriendo
NGC1980,Lower Sword,Espada Inferior
NGC1981,Upper Sword,Espada Superior
NGC1982,Mairan's Nebula,Nebulosa de Mairan
NGC1990,Alnilam,Alnilam
NGC2070,"30 Dor Cluster, Tarantula Nebula",Nebulosa Tarántula
NGC2174,Monkey Head Nebula,Nebulosa Cabeza de Mono
NGC2237,Rosette A,Roseta A
NGC2238,Rosette Nebula,Nebulosa Roseta
NGC2246,Rosette B,Roseta B
NGC2261,Hubble's Nebula,Nebulosa de Hubble
NGC2264,Christmas Tree Cluster,Cúmulo Árbol de Navidad
NGC2301,Great Bird Cluster,Cúmulo del Gran Pájaro
NGC2360,Caroline's Cluster,Cúmulo de Caroline
NGC2392,Eskimo Nebula,Nebulosa Esquimal
NGC2537,"Bear Claw Nebula, Bear-Paw Galaxy","Nebulosa Garra de Oso, Galaxia Pata de Oso"
NGC2573,Polarissima Australis,Polarissima Australis
NGC2632,"Beehive, Praesepe Cluster","Colmena, Cúmulo del Pesebre"
NGC2685,Helix Galaxy,Galaxia Hélice
NGC2736,Pencil Nebula,Nebulosa del Lápiz
NGC3031,Bode's Galaxy,Galaxia de Bode
NGC3034,Cigar Galaxy,Galaxia Cigarro
NGC3115,Spindle Galaxy,Galaxia del Huso
NGC3132,Eight-Burst Nebula,Nebulosa Ocho Estallidos
NGC3172,Polarissima Borealis,Polarissima Borealis
NGC3242,Jupiter's Ghost Nebula,Fantasma de Júpiter
NGC3372,"Carina Nebula, eta Car Nebula",Nebulosa de eta Carinae
NGC3532,Wishing Well Cluster,Cúmulo del Pozo de los Deseos
NGC3561,the Guitar,La Guitarra
