open_ngc_name,English,French
IC0348,Omi Per Cloud,Omi Per Cloud
IC0349,Barnard's Merope Nebula,Nébuleuse de Mérope de Barnard
IC0405,Flaming Star Nebula,Nébuleuse de l'Étoile Flamboyante
IC0434,"Flame Nebula, Orion B",Nébuleuse de la Flamme
IC0443,Gem A,Gem A
IC1318,Gamma Cygni Nebula,Nébuleuse de Gamma Cygni
IC2220,Toby Jug Nebula,Nébuleuse du Papillon
IC2391,Omicron Velorum Cluster,Amas d'Omicron Velorum
IC2431 NED02,Browning,Browning
IC2574,Coddington's Nebula,Nébuleuse de Coddington
IC2602,Theta Carinae Cluster,Pléiades du Sud
IC2944,lam Cen Nebula,lam Cen Nebula
IC4604,rho Oph Nebula,rho Oph Nebula
IC4703,"Eagle Nebula, Star Queen",Nébuleuse de l'Aigle
IC4715,Small Sagittarius Star Cloud,Small Sagittarius Star Cloud
IC5070,Pelican Nebula,Nébuleuse du Pélican
IC5146,Cocoon Nebula,Nébuleuse du Cocon
NGC0040,Bow-Tie nebula,Nébuleuse du Noeud Papillon
NGC0104,47 Tucanae,47 du Toucan
NGC0224,Andromeda Galaxy,Galaxie d'andromède
NGC0246,"Skull Nebula, Caldwell 56",Nébuleuse du Crâne
NGC0253,Sculptor Galaxy,Galaxie du Sculpteur
NGC0292,Small Magellanic Cloud,Petit Nuage de Magellan
NGC0457,Owl Cluster,Amas de la Chouette
NGC0598,"Triangulum Galaxy, Triangulum Pinwheel",Galaxie du Triangle
NGC0650,"Barbell Nebula, Cork Nebula, Little Dumbbell Nebula",Nébuleuse du petit Haltère
NGC0869,h Persei Cluster,h Persei Cluster
NGC0884,chi Persei Cluster,Double amas de Persée
NGC1049,Fornax Dwarf Cluster 3,Fornax Dwarf Cluster 3
NGC1275,Perseus A,Perseus A
NGC1316,Fornax A,Fourneau A
NGC1317,Fornax B,Fourneau B
NGC1432,Maia Nebula,Nébuleuse de Maïa
NGC1435,Merope Nebula,Nébuleuse de Mérope
NGC1499,California Nebula,Nébuleuse Californie
NGC1555,"Hind's Nebula, Hind's Variable Nebula",Nébuleuse de Hind
NGC1909,the Witch Head Nebula,Nébuleuse de la Tête de Sorcière
NGC1952,Crab Nebula,Nébuleuse du Crabe
NGC1976,"Great Orion Nebula, Orion Nebula",Nébuleuse d'Orion
NGC1977,the Running Man Nebula,Nébuleuse de l'Homme qui court
NGC1980,Lower Sword,Le joyau perdu d'Orion
NGC1981,Upper Sword,Upper Sword
NGC1982,Mairan's Nebula,Nébuleuse de De Mairan
NGC1990,Alnilam,Alnilam
NGC2070,"30 Dor Cluster, Tarantula Nebula",Nébuleuse de la Tarentule
NGC2174,Monkey Head Nebula,Nébuleuse de la Tête de Singe
NGC2237,Rosette A,Nébuleuse de la Rosette A
NGC2238,Rosette Nebula,Nébuleuse de la Rosette
NGC2246,Rosette B,Nébuleuse de la Rosette B
NGC2261,Hubble's Nebula,Nébuleuse variable de Hubble 
NGC2264,Christmas Tree Cluster,Nébuleuse de l'Arbre de Noël
NGC2301,Great Bird Cluster,Great Bird Cluster
NGC2360,Caroline's Cluster,Amas de Caroline
NGC2392,Eskimo Nebula,Nébuleuse de l'Esquimau
NGC2537,"Bear Claw Nebula, Bear-Paw Galaxy",Patte de l'Ourse 
NGC2573,Polarissima Australis,Polarissima Australis
NGC2632,"Beehive, Praesepe Cluster",Amas de la Ruche
NGC2685,Helix Galaxy,Galaxie de l'Hélice
NGC2736,Pencil Nebula,Nébuleuse du Crayon
NGC3031,Bode's Galaxy,Galaxie de Bode
NGC3034,Cigar Galaxy,Galaxie du Cigare 
NGC3115,Spindle Galaxy,Galaxie du Fuseau
NGC3132,Eight-Burst Nebula,Nébuleuse de l'anneau austral
NGC3172,Polarissima Borealis,Polarissima Borealis
NGC3242,Jupiter's Ghost Nebula,Fantôme de Jupiter
NGC3372,"Carina Nebula, eta Car Nebula",Nébuleuse de la Carène
NGC3532,Wishing Well Cluster,Amas du Puits aux voeux
NGC3561,the Guitar,the Guitar
NGC3587,Owl Nebula,Nébuleuse du Hibou
NGC3766,Pearl Cluster,Caldwell 97
NGC3918,Blue Planetary,Planétaire bleu
NGC3928,Miniature Spiral,Spirale miniature
NGC4038,Antennae Galaxies,Galaxies des Antennes
NGC4039,Antennae Galaxies,Galaxies des Antennes
NGC4194,Medusa Galaxy Merger,Galaxie de la Méduse
NGC4254,"Coma Pinwheel, Virgo Cluster Pinwheel","Coma Pinwheel, Virgo Cluster Pinwheel"
NGC4435,Eyes,Galaxie des yeux
NGC4438,Eyes,Galaxie des yeux
NGC4486,Virgo Galaxy,Messier 87
NGC4565,Needle Galaxy,Galaxie de l'Aiguille
NGC4567,"Butterfly Galaxies, Siamese Twins","Butterfly Galaxies, Siamese Twins"
NGC4568,"Butterfly Galaxies, Siamese Twins","Butterfly Galaxies, Siamese Twins"
NGC4594,Sombrero Galaxy,Galaxie du Sombrero
NGC4609,Coalsack Cluster,Coalsack Cluster
NGC4631,Whale Galaxy,Galaxie de la Baleine
NGC4651,Umbrella Galaxy,Galaxie Parapluie
NGC4676,Mice Galaxy,Les galaxies des Souris
NGC4755,"Herschel's Jewel Box, kappa Crucis Cluster",Amas de Kappa Crucis
NGC4826,"Black Eye Galaxy, Evil Eye Galaxy",Galaxie de l'¿il noir
NGC4990,Cocoon Galaxy,Cocoon Galaxy
NGC5055,Sunflower Galaxy,Sunflower Galaxy
NGC5128,Centaurus A,Centaurus A
NGC5139,Omega Centauri,Omega Centauri
NGC5194,Whirlpool Galaxy,Galaxie du Tourbillon
NGC5236,Southern Pinwheel Galaxy,Southern Pinwheel Galaxy
NGC6087,S Normae Cluster,Amas S Normae
NGC6188,Firebird Nebula,Dragons combattants de l'Autel[
NGC6205,Hercules Globular Cluster,Amas d'Hercule
NGC6302,"Bug Nebula, Butterfly Nebula",Nébuleuse du Papillon
NGC6309,Box Nebula,Nébuleuse de la Boîte
