iau_id,English,Italian
and,Andromeda,Andromeda
ant,Antlia,Macchina Pneumatica
aps,Apus,Uccello del Paradiso
aql,Aquila,Aquila
aqr,Aquarius,Acquario
ara,Ara,Altare
ari,Aries,Ariete
aur,Auriga,Auriga
boo,Bootes,Boote
cae,Caelum,Bulino
cam,Camelopardalis,Giraffa
cap,Capricornus,Capricorno
car,Carina,Carena
cas,Cassiopeia,Cassiopea
cen,Centaurus,Centauro
cep,Cepheus,Cefeo
cet,Cetus,Balena
cha,Chamaeleon,Camaleonte
cir,Circinus,Compasso
cma,Canis Major,Cane Maggiore
cmi,Canis Minor,Cane Minore
cnc,Cancer,Cancro
col,Columba,Colomba
com,Coma Berenices,Chioma di Berenice
cra,Corona Australis,Corona Australe
crb,Corona Borealis,Corona Boreale
crt,Crater,Cratere
cru,Crux,Croce del Sud
crv,Corvus,Corvo
cvn,Canes Venatici,Cani da Caccia
cyg,Cygnus,Cigno
del,Delphinus,Delfino
dor,Dorado,Dorado
dra,Draco,Drago
equ,Equuleus,Cavallino
eri,Eridanus,Eridano
for,Fornax,Fornace
gem,Gemini,Gemelli
gru,Grus,Gru
her,Hercules,Ercole
hor,Horologium,Orologio
hya,Hydra,Idra
hyi,Hydrus,Idra Maschio
ind,Indus,Indiano
lac,Lacerta,Lucertola
leo,Leo,Leone
lep,Lepus,Lepre
lib,Libra,Bilancia
lmi,Leo Minor,Leone Minore
lup,Lupus,Lupo
lyn,Lynx,Lince
lyr,Lyra,Lira
men,Mensa,Mensa
mic,Microscopium,Microscopio
mon,Monoceros,Unicorno
mus,Musca,Mosca
nor,Norma,Regolo
oct,Octans,Ottante
oph,Ophiuchus,Serpente
ori,Orion,Orione
pav,Pavo,Pavone
peg,Pegasus,Pegaso
per,Perseus,Perseo
phe,Phoenix,Fenice
pic,Pictor,Pittore
psa,Piscis Austrinus,Pesce Australe
psc,Pisces,Pesci
pup,Puppis,Poppa
pyx,Pyxis,Bussola
ret,Reticulum,Reticolo
scl,Sculptor,Scultore
sco,Scorpius,Scorpione
sct,Scutum,Scudo
ser1,Serpens Caput,Serpente (testa)
ser2,Serpens Cauda,Serpente (coda)
sex,Sextans,Sestante
sge,Sagitta,Freccia
sgr,Sagittarius,Sagittario
tau,Taurus,Toro
tel,Telescopium,Telescopio
tra,Triangulum Australe,Triangolo Australe
tri,Triangulum,Triangolo
tuc,Tucana,Tucano
uma,Ursa Major,Orsa Maggiore
umi,Ursa Minor,Orsa Minore
vel,Vela,Vele
vir,Virgo,Vergine
vol,Volans,Pesce Volante
vul,Vulpecula,Volpetta
