open_ngc_name,English,Italian
IC0348,Omi Per Cloud,Ammasso Omicron Persei
IC0349,Barnard's Merope Nebula,Nebulosa Merope di Barnard
IC0405,Flaming Star Nebula,Nebulosa Stella Fiammeggiante
IC0434,"Flame Nebula, Orion B",Nebulosa Testa di Cavallo
IC0443,Gem A,Nebulosa Medusa
IC1318,Gamma Cygni Nebula,Nebulosa di Gamma Cygni
IC2220,Toby Jug Nebula,Nebulosa Toby Jug
IC2391,Omicron Velorum Cluster,Ammasso Omicron Velorum
IC2431 NED02,Browning,Galassia Browning
IC2574,Coddington's Nebula,Nebulosa di Coddington
IC2602,Theta Carinae Cluster,Pleiadi del Sud
IC2944,lam Cen Nebula,Nebulosa lam Cen
IC4604,rho Oph Nebula,Nebulosa rho Oph
IC4703,"Eagle Nebula, Star Queen",Nebulosa Aquila
IC4715,Small Sagittarius Star Cloud,Piccola Nube Stellare del Sagittario
IC5070,Pelican Nebula,Nebulosa Pellicano
IC5146,Cocoon Nebula,Nebulosa Bozzolo
NGC0040,Bow-Tie nebula,Nebulosa Scarabeo
NGC0104,47 Tucanae,47 Tucanae
NGC0224,Andromeda Galaxy,Galassia di Andromeda
NGC0246,"Skull Nebula, Caldwell 56",Nebulosa Teschio
NGC0253,Sculptor Galaxy,Galassia dello Scultore
NGC0292,Small Magellanic Cloud,Piccola Nube di Magellano
NGC0457,Owl Cluster,Ammasso Libellula
NGC0598,"Triangulum Galaxy, Triangulum Pinwheel",Galassia del Triangolo
NGC0650,"Barbell Nebula, Cork Nebula, Little Dumbbell Nebula",Nebulosa Piccola Campana
NGC0869,h Persei Cluster,Ammasso h Persei
NGC0884,chi Persei Cluster,Ammasso chi Persei
NGC1049,Fornax Dwarf Cluster 3,Ammasso Nano della Fornace 3
NGC1275,Perseus A,Perseo A
NGC1316,Fornax A,Fornace A
NGC1317,Fornax B,Fornace B
NGC1432,Maia Nebula,Nebulosa di Maia
NGC1435,Merope Nebula,Nebulosa di Merope
NGC1499,California Nebula,Nebulosa California
NGC1555,"Hind's Nebula, Hind's Variable Nebula",Nebulosa di Hind
NGC1909,the Witch Head Nebula,Nebulosa Testa di Strega
NGC1952,Crab Nebula,Nebulosa Granchio
NGC1976,"Great Orion Nebula, Orion Nebula",Nebulosa di Orione
NGC1977,the Running Man Nebula,Nebulosa Uomo che Corre
NGC1980,Lower Sword,Spada Inferiore
NGC1981,Upper Sword,Spada Superiore
NGC1982,Mairan's Nebula,Nebulosa di Mairan
NGC1990,Alnilam,Alnilam
NGC2070,"30 Dor Cluster, Tarantula Nebula",Nebulosa Tarantola
NGC2174,Monkey Head Nebula,Nebulosa Testa di Scimmia
NGC2237,Rosette A,Nebulosa Rosetta A
NGC2238,Rosette Nebula,Nebulosa Rosetta
NGC2246,Rosette B,Nebulosa Rosetta B
NGC2261,Hubble's Nebula,Nebulosa Variabile di Hubble
NGC2264,Christmas Tree Cluster,Albero di Natale
NGC2301,Great Bird Cluster,Ammasso Grande Uccello
NGC2360,Caroline's Cluster,Ammasso Caroline
NGC2392,Eskimo Nebula,Nebulosa Eskimo
NGC2537,"Bear Claw Nebula, Bear-Paw Galaxy",Galassia Zampa d'Orso
NGC2573,Polarissima Australis,Polarissima Australe
NGC2632,"Beehive, Praesepe Cluster",Ammasso del Presepe
NGC2685,Helix Galaxy,Galassia Elica
NGC2736,Pencil Nebula,Nebulosa Matita
NGC3031,Bode's Galaxy,Galassia di Bode
NGC3034,Cigar Galaxy,Galassia Sigaro
NGC3115,Spindle Galaxy,Galassia Fuso
NGC3132,Eight-Burst Nebula,Nebulosa Anello del Sud
NGC3172,Polarissima Borealis,Polarissima Boreale
NGC3242,Jupiter's Ghost Nebula,Fantasma di Giove
NGC3372,"Carina Nebula, eta Car Nebula",Nebulosa della Carena
NGC3532,Wishing Well Cluster,Ammasso Pozzo dei Desideri
NGC3561,the Guitar,La Chitarra
NGC3587,Owl Nebula,Nebulosa Gufo
NGC3766,Pearl Cluster,Ammasso Perla
NGC3918,Blue Planetary,Nebulosa Planetaria Blu
NGC3928,Miniature Spiral,Spirale in miniatura
NGC4038,Antennae Galaxies,Galassie Antenne
NGC4039,Antennae Galaxies,Galassie Antenne
NGC4194,Medusa Galaxy Merger,Galassia Medusa
NGC4254,"Coma Pinwheel, Virgo Cluster Pinwheel",Ammasso della Vergine Girandola
NGC4435,Eyes,Catena di Markarian
NGC4438,Eyes,Catena di Markarian
NGC4486,Virgo Galaxy,Messier 87
NGC4565,Needle Galaxy,Galassia Ago
NGC4567,"Butterfly Galaxies, Siamese Twins",Gemelli Siamesi
NGC4568,"Butterfly Galaxies, Siamese Twins",Gemelli Siamesi
NGC4594,Sombrero Galaxy,Galassia Sombrero
NGC4609,Coalsack Cluster,Ammasso Sacco di Carbone
NGC4631,Whale Galaxy,Galassia Balena
NGC4651,Umbrella Galaxy,Galassia Ombrello
NGC4676,Mice Galaxy,Galassie Topo
NGC4755,"Herschel's Jewel Box, kappa Crucis Cluster",Scrigno di Gioielli
NGC4826,"Black Eye Galaxy, Evil Eye Galaxy",Galassia Occhio Nero
NGC4990,Cocoon Galaxy,Cocoon Galaxy
NGC5055,Sunflower Galaxy,Galassia Girasole
NGC5128,Centaurus A,Centaurus A
NGC5139,Omega Centauri,Omega Centauri
NGC5194,Whirlpool Galaxy,Galassia Vortice
NGC5236,Southern Pinwheel Galaxy,Galassia Girandola del Sud
NGC6087,S Normae Cluster,Ammasso Norma 5
NGC6188,Firebird Nebula,Nebulosa Orlo
NGC6205,Hercules Globular Cluster,Ammasso Globulare di Ercole
NGC6302,"Bug Nebula, Butterfly Nebula",Nebulosa Insetto
NGC6309,Box Nebula,Nebulosa Scatola
NGC6357,the War and Peace Nebula,Nebulosa Guerra e Pace
NGC6369,Little Ghost Nebula,Nebulosa Piccolo Fantasma
NGC6405,Butterfly Cluster,Ammasso Farfalla
NGC6445,Little Gem,Nebulosa Piccolo Gioiello
NGC6475,Ptolemy's Cluster,Ammasso di Tolomeo
NGC6514,Trifid Nebula,Nebulosa Trifida
NGC6523,Lagoon Nebula,Nebulosa Laguna
NGC6537,Red Spider Nebula,Nebulosa Ragno Rosso
NGC6543,Cat's Eye Nebula,Nebulosa Occhio di Gatto
NGC6611,Eagle Nebula,Nebulosa Aquila
NGC6618,"Checkmark Nebula, Lobster Nebula, Swan Nebula, omega Nebula",Nebulosa Omega
NGC6705,Wild Duck Cluster,Ammasso Anatra Selvatica
NGC6720,Ring Nebula,Nebulosa Anello
NGC6741,Phantom Streak Nebula,Galassia Phantom Streak
NGC6818,Little Gem Nebula,Nebulosa Piccolo Gioiello
NGC6819,Foxhead Cluster,Ammasso Testa di Volpe
NGC6822,Barnard's Galaxy,Galassia di Barnard
NGC6826,Blinking Planetary,Nebulosa Planetaria Intermittente
NGC6853,Dumbbell Nebula,Nebulosa Manubrio
NGC6888,Crescent Nebula,Nebulosa Crescente
NGC6905,Blue Flash Nebula,Nebulosa Lampo Blu
NGC6946,Fireworks Galaxy,Galassia Fuochi d'Artificio
NGC6960,"Veil Nebula, Filamentary Nebula, Western Veil",Nebulosa Velo
NGC6992,"Eastern Veil, Network Nebula",Nebulosa Velo dell'Est
NGC6995,"Eastern Veil, Network Nebula",Nebulosa Velo dell'Est
NGC7000,North America Nebula,Nebulosa Nord America
NGC7009,Saturn Nebula,Nebulosa Saturno
NGC7023,Iris Nebula,Nebulosa Iris
NGC7114,Schmidt's Nova Cygni,Q Cygni
NGC7293,Helix Nebula,Nebulosa Elica
NGC7635,Bubble Nebula,Nebulosa Bolla
NGC7662,Copeland's Blue Snowball,Nebulosa Palla di Neve
B033,Horsehead Nebula,Nebulosa Testa di Cavallo
C009,Cave Nebula,Nebulosa Grotta
C014,"Double Cluster, h & chi Persei",Ammasso doppio di Perseo
C041,Hyades,Iadi
C099,Coalsack Nebula,Nebulosa Sacco di Carbone
Cl399,"Brocchi's Cluster, Al Sufi's Cluster, Coathanger Asterism",Ammasso di Brocchi
ESO056-115,"Large Magellanic Cloud, Nubecula Major",Grande Nube di Magellano
ESO097-013,Circinus Galaxy,Galassia del Compasso
ESO270-017,Fourcade-Figueroa,Fourcade-Figueroa
ESO351-030,Sculptor Dwarf Elliptical,Galassia nana dello Scultore
ESO356-004,Fornax Dwarf Spheroidal,Galassia nana della Fornace
HCG079,Seyfert's Sextet,Sestetto di Seyfert
HCG092,Stephan's Quintet,Quintetto di Stephan
Mel022,Pleiades,Pleiadi
Mel111,Coma Star Cluster,Ammasso della Chioma di Berenice
PGC000143,Wolf-Lundmark-Melotte Galaxy,Galassia di Wolf-Lundmark-Melotte
PGC029653,Sextans A,Sestante A
PGC088608,Sextans Dwarf Spheroidal,Galassia nana del Sestante
UGC05373,Sextans B,Sestante B
UGC05470,Leo I,Leo I
