open_ngc_name,English,Lithuanian
IC0348,Omi Per Cloud,Persėjo Omni debesis
IC0349,Barnard's Merope Nebula,Bernardo Meropės ūkas
IC0405,Flaming Star Nebula,Liepsnojančios žvaigždės ūkas
IC0434,"Flame Nebula, Orion B","Liepsnos ūkas, Oriono B"
IC0443,Gem A,Dvynių A
IC1318,Gamma Cygni Nebula,Gulbės Gamma ūkas
IC2220,Toby Jug Nebula,Asočio ūkas
IC2391,Omicron Velorum Cluster,Burės Omikron spiečius
IC2431 NED02,Browning,Lūšies galaktika
IC2574,Coddington's Nebula,Kodlingtono ūkas
IC2602,Theta Carinae Cluster,Karinos Teta spiečius
IC2944,lam Cen Nebula,Kentauro Lambda ūkas
IC4604,rho Oph Nebula,Gyvatnešio Ro ūkas
IC4703,"Eagle Nebula, Star Queen",Erelio ūkas
IC4715,Small Sagittarius Star Cloud,Mažasis Šaulio žvaigždžių debesis
IC5070,Pelican Nebula,Pelikano ūkas
IC5146,Cocoon Nebula,Kokono ūkas
NGC0040,Bow-Tie nebula,Varliuko ūkas
NGC0104,47 Tucanae,Tukano 47 spiečius
NGC0224,Andromeda Galaxy,Andromedos galaktika 
NGC0246,"Skull Nebula, Caldwell 56",Kaukolės ūkas
NGC0253,Sculptor Galaxy,Skulptoriaus galaktika
NGC0292,Small Magellanic Cloud,Mažasis Magelano debesis
NGC0457,Owl Cluster,Pelėdos spiečius
NGC0598,"Triangulum Galaxy, Triangulum Pinwheel",Trikampio galaktika
NGC0650,"Barbell Nebula, Cork Nebula, Little Dumbbell Nebula",Mažasis Hantelio ūkas
NGC0869,h Persei Cluster,Persėjo dvigubas spiečius (šiaurinis) 
NGC0884,chi Persei Cluster,Persėjo dvigubas spiečius (pietinis) 
NGC1049,Fornax Dwarf Cluster 3,Krosnies nykštukinis spiečius 3
NGC1275,Perseus A,Persėjo A galaktika
NGC1316,Fornax A,Krosnies A galaktika
NGC1317,Fornax B,Krosnies B galaktika
NGC1432,Maia Nebula,Majos ūkas
NGC1435,Merope Nebula,Meropės ūkas
NGC1499,California Nebula,Kalifornijos ūkas
NGC1555,"Hind's Nebula, Hind's Variable Nebula",Hindo ūkas
NGC1909,the Witch Head Nebula,Raganos galvos ūkas
NGC1952,Crab Nebula,Krabo ūkas
NGC1976,"Great Orion Nebula, Orion Nebula",Didysis Oriono ūkas
NGC1977,the Running Man Nebula,Bėgančio Žmogaus ūkas
