iau_id,English,Dutch
and,Andromeda,Andromeda
ant,Antlia,Luchtpomp
aps,Apus,Paradijsvogel
aql,Aquila,Arend
aqr,Aquarius,Waterman
ara,Ara,Altaar
ari,Aries,Ram
aur,Auriga,Voerman
boo,Bootes,Ossenhoeder
cae,Caelum,Graveerstift
cam,Camelopardalis,Giraffe
cap,Capricornus,Steenbok
car,Carina,Kiel
cas,Cassiopeia,Cassiopeia
cen,Centaurus,Centaur
cep,Cepheus,Cepheus
cet,Cetus,Walvis
cha,Chamaeleon,Kameleon
cir,Circinus,Passer
cma,Canis Major,Grote Hond
cmi,Canis Minor,Kleine Hond
cnc,Cancer,Kreeft
col,Columba,Duif
com,Coma Berenices,Hoofdhaar van Berenice
cra,Corona Australis,Zuiderkroon
crb,Corona Borealis,Noorderkroon
crt,Crater,Beker
cru,Crux,Zuiderkruis
crv,Corvus,Kraai
cvn,Canes Venatici,Jachthonden
cyg,Cygnus,Zwaan
del,Delphinus,Dolfijn
dor,Dorado,Goudvis
dra,Draco,Draak
equ,Equuleus,Veulen
eri,Eridanus,Eridanus
for,Fornax,Oven
gem,Gemini,Tweelingen
gru,Grus,Kraanvogel
her,Hercules,Hercules
hor,Horologium,Uurwerk
hya,Hydra,Waterslang
hyi,Hydrus,Kleine Waterslang
ind,Indus,Indiaan
lac,Lacerta,Hagedis
leo,Leo,Leeuw
lep,Lepus,Haas
lib,Libra,Weegschaal
lmi,Leo Minor,Kleine Leeuw
lup,Lupus,Wolf
lyn,Lynx,Lynx
lyr,Lyra,Lier
men,Mensa,Tafelberg
mic,Microscopium,Microscoop
mon,Monoceros,Eenhoorn
mus,Musca,Vlieg
nor,Norma,Winkelhaak
oct,Octans,Octant
oph,Ophiuchus,Slangendrager
ori,Orion,Orion
pav,Pavo,Pauw
peg,Pegasus,Pegasus
per,Perseus,Perseus
phe,Phoenix,Phoenix
pic,Pictor,Schilder
psa,Piscis Austrinus,Zuidervis
psc,Pisces,Vissen
pup,Puppis,Achtersteven
pyx,Pyxis,Kompas
ret,Reticulum,Net
scl,Sculptor,Beeldhouwer
sco,Scorpius,Schorpioen
sct,Scutum,Schild
ser1,Serpens Caput,Kop van de Slang
ser2,Serpens Cauda,Staart van de Slang
sex,Sextans,Sextant
sge,Sagitta,Pijl
sgr,Sagittarius,Boogschutter
tau,Taurus,Stier
tel,Telescopium,Telescoop
tra,Triangulum Australe,Zuiderdriehoek
tri,Triangulum,Driehoek
tuc,Tucana,Toekan
uma,Ursa Major,Grote Beer
umi,Ursa Minor,Kleine Beer
vel,Vela,Zeilen
vir,Virgo,Maagd
vol,Volans,Vliegende vis
vul,Vulpecula,Vosje
