open_ngc_name,English,Dutch
IC0348,Omi Per Cloud,Omi Per nevel
IC0349,Barnard's Merope Nebula,Barnards Merope nevel
IC0405,Flaming Star Nebula,Vlammende sternevel
IC0434,"Flame Nebula, Orion B","Vlamnevel, Orion B"
IC0443,Gem A,Gem A
IC1318,Gamma Cygni Nebula,Gamma Cygni nevel
IC2220,Toby Jug Nebula,Toby Jug nevel
IC2391,Omicron Velorum Cluster,Omicron Velorum cluster
IC2431 NED02,Browning,Browning
IC2574,Coddington's Nebula,Coddingtonsnevel
IC2602,Theta Carinae Cluster,Theta Carinae cluster
IC2944,lam Cen Nebula,lam Cen nevel
IC4604,rho Oph Nebula,rho Oph nevel
IC4703,"Eagle Nebula, Star Queen",Adelaarnevel
IC4715,Small Sagittarius Star Cloud,Kleine Sagittarius sterrennevel
IC5070,Pelican Nebula,Pelikaannevel
IC5146,Cocoon Nebula,Coconnevel
NGC0040,Bow-Tie nebula,Bow-Tie nevel
NGC0104,47 Tucanae,47 Toekans
NGC0224,Andromeda Galaxy,Andromedastelsel
NGC0246,"Skull Nebula, Caldwell 56",Schedelnevel
NGC0253,Sculptor Galaxy,Sculptor sterrenstelsel
NGC0292,Small Magellanic Cloud,Kleine Magelhaense wolk
NGC0457,Owl Cluster,Uilcluster
NGC0598,"Triangulum Galaxy, Triangulum Pinwheel","Triangulum sterrenstelsel, Triangulum spiraalstelsel"
NGC0650,"Barbell Nebula, Cork Nebula, Little Dumbbell Nebula","Barbellnevel, Kurknevel, Kleine Halternevel"
NGC0869,h Persei Cluster,h Persei cluster
NGC0884,chi Persei Cluster,chi Persei cluster
NGC1049,Fornax Dwarf Cluster 3,Fornax dwergcluster 3
NGC1275,Perseus A,Perseus A
NGC1316,Fornax A,Fornax A
NGC1317,Fornax B,Fornax B
NGC1432,Maia Nebula,Maia nevel
NGC1435,Merope Nebula,Merope nevel
NGC1499,California Nebula,California nevel
NGC1555,"Hind's Nebula, Hind's Variable Nebula","Hinds nevel, Hinds variabele nevel"
NGC1909,the Witch Head Nebula,Witch Head nevel
NGC1952,Crab Nebula,Krabnevel
NGC1976,"Great Orion Nebula, Orion Nebula","Grote Orionnevel, Orionnevel"
NGC1977,the Running Man Nebula,Running Man nevel
NGC1980,Lower Sword,Lager zwaard
NGC1981,Upper Sword,Boven zwaard
NGC1982,Mairan's Nebula,Mairans nevel
NGC1990,Alnilam,Alnilam
NGC2070,"30 Dor Cluster, Tarantula Nebula","30 Dor cluster, Tarantula nevel"
NGC2174,Monkey Head Nebula,Apenkopnevel
NGC2237,Rosette A,Rosette A
NGC2238,Rosette Nebula,Rosettenevel
NGC2246,Rosette B,Rosette B
NGC2261,Hubble's Nebula,Hubble's nevel
NGC2264,Christmas Tree Cluster,Kerstboomcluster
NGC2301,Great Bird Cluster,Grote vogelcluster
NGC2360,Caroline's Cluster,Caroline's cluster
NGC2392,Eskimo Nebula,Eskimo nevel
NGC2537,"Bear Claw Nebula, Bear-Paw Galaxy",Bear Claw nevel
NGC2573,Polarissima Australis,Polarissima Australis
NGC2632,"Beehive, Praesepe Cluster",
NGC2685,Helix Galaxy,Helix sterrenstelsel
NGC2736,Pencil Nebula,Potloodnevel
NGC3031,Bode's Galaxy,Bode's sterrenstelsel
NGC3034,Cigar Galaxy,Sigaar sterrenstelsel
NGC3115,Spindle Galaxy,Spindel sterrenstelsel
NGC3132,Eight-Burst Nebula,Eight-Burst Nevel
NGC3172,Polarissima Borealis,Polarissima Borealis
NGC3242,Jupiter's Ghost Nebula,Jupiter's Ghost nevel
NGC3372,"Carina Nebula, eta Car Nebula",eta Carina nevel
NGC3532,Wishing Well Cluster,Wensput cluster
NGC3561,the Guitar,Gitaarnevel
NGC3587,Owl Nebula,Uilnevel
NGC3766,Pearl Cluster,Parelcluster
NGC3918,Blue Planetary,Blue Planetary
NGC3928,Miniature Spiral,Miniatuurspiraal
NGC4038,Antennae Galaxies,Antennestelsel
NGC4039,Antennae Galaxies,Antennestelsel
NGC4194,Medusa Galaxy Merger,Medusa sterrenstelsel menger
NGC4254,"Coma Pinwheel, Virgo Cluster Pinwheel",Virgo cluster Pinwheel
NGC4435,Eyes,Eyes
NGC4438,Eyes,Eyes
NGC4486,Virgo Galaxy,Virgo sterrenstelsel
NGC4565,Needle Galaxy,Naald sterrenstelsel
NGC4567,"Butterfly Galaxies, Siamese Twins","Vlinder Sterrenstelsels, Siamese Tweelingen"
NGC4568,"Butterfly Galaxies, Siamese Twins","Vlinder Sterrenstelsels, Siamese Tweelingen"
NGC4594,Sombrero Galaxy,Sombrero  sterrenstelsel
NGC4609,Coalsack Cluster,Kolenzakcluster
NGC4631,Whale Galaxy,Walvis sterrenstelsel
NGC4651,Umbrella Galaxy,Paraplu sterrenstelsel
NGC4676,Mice Galaxy,Muis sterrenstelsel
NGC4755,"Herschel's Jewel Box, kappa Crucis Cluster",Herschels juwelenkist
NGC4826,"Black Eye Galaxy, Evil Eye Galaxy","Zwart oog sterrenstelsel, Bozenoog sterrenstelsel"
NGC4990,Cocoon Galaxy,Cocon sterrenstelsel
NGC5055,Sunflower Galaxy,Sunflower-sterenstelsel
NGC5128,Centaurus A,Centaurus A
NGC5139,Omega Centauri,Omega Centauri
NGC5194,Whirlpool Galaxy,Draaikolknevel
NGC5236,Southern Pinwheel Galaxy,Zuidelijk Windmolen sterrenstelsel
NGC6087,S Normae Cluster,S Normae cluster
NGC6188,Firebird Nebula,Firebird nevel
NGC6205,Hercules Globular Cluster,Hercules bolcluster
NGC6302,"Bug Nebula, Butterfly Nebula","Bug-nevel, Vlindernevel"
NGC6309,Box Nebula,Boxnevel
NGC6357,the War and Peace Nebula,War and Peace nevel
NGC6369,Little Ghost Nebula,Kleine Geestnevel
NGC6405,Butterfly Cluster,Vlindercluster
NGC6445,Little Gem,Little Gem
NGC6475,Ptolemy's Cluster,Ptolemy's cluster
NGC6514,Trifid Nebula,Trifidnevel
NGC6523,Lagoon Nebula,Lagune nevel
NGC6537,Red Spider Nebula,Red Spider nevel
NGC6543,Cat's Eye Nebula,Kattenoognevel
NGC6611,Eagle Nebula,Adelaarnevel
NGC6618,"Checkmark Nebula, Lobster Nebula, Swan Nebula, omega Nebula","Vinkje nevel, Kreeftnevel, Zwaannevel"
NGC6705,Wild Duck Cluster,Wilde Eend cluster
NGC6720,Ring Nebula,Ringnevel
NGC6741,Phantom Streak Nebula,Phantom streepnevel
NGC6818,Little Gem Nebula,Kleine Edelsteennevel
NGC6819,Foxhead Cluster,Vossekop
NGC6822,Barnard's Galaxy,Barnards sterrenstelsel
NGC6826,Blinking Planetary,Blinking planetary
NGC6853,Dumbbell Nebula,Halternevel
NGC6888,Crescent Nebula,Sikkeltnevel
NGC6905,Blue Flash Nebula,Blue Flash-nevel
NGC6946,Fireworks Galaxy,Fireworks sterrenstelsel
NGC6960,"Veil Nebula, Filamentary Nebula, Western Veil","Sluiernevel, Draderige nevel"
NGC6992,"Eastern Veil, Network Nebula",Netwerknevel
NGC6995,"Eastern Veil, Network Nebula",Netwerknevel
NGC7000,North America Nebula,Noord-Amerika nevel
NGC7009,Saturn Nebula,Saturnusnevel
NGC7023,Iris Nebula,Irisnevel
NGC7114,Schmidt's Nova Cygni,Schmidt's Nova Cygni
NGC7293,Helix Nebula,Helixnevel
NGC7635,Bubble Nebula,Bubbelnevel
NGC7662,Copeland's Blue Snowball,Copelands blauwe sneeuwbal
B033,Horsehead Nebula,Paardenhoofdnevel
C009,Cave Nebula,Grotnevel
C014,"Double Cluster, h & chi Persei",Dubbelcluster
C041,Hyades,Hyaden
C099,Coalsack Nebula,Kolenzaknevel
Cl399,"Brocchi's Cluster, Al Sufi's Cluster, Coathanger Asterism","Brocchi's cluster, Al Sufi's cluster"
ESO056-115,"Large Magellanic Cloud, Nubecula Major","Grote Magelhaense wolk, Nubecula Major"
ESO097-013,Circinus Galaxy,Circinus sterrenstelsel
ESO270-017,Fourcade-Figueroa,Fourcade-Figueroa
ESO351-030,Sculptor Dwarf Elliptical,Sculptor Dwarf Elliptical
ESO356-004,Fornax Dwarf Spheroidal,Fornax-dwergstelsel
HCG079,Seyfert's Sextet,Seyferts sextet
HCG092,Stephan's Quintet,Stephans kwintet
Mel022,Pleiades,Plejaden
Mel111,Coma Star Cluster,Coma sterrenhoop
PGC000143,Wolf-Lundmark-Melotte Galaxy,Wolf-Lundmark-Melotte-stelsel
PGC029653,Sextans A,Sextant A
PGC088608,Sextans Dwarf Spheroidal,Sextans Dwarf Spheroidal
UGC05373,Sextans B,Sextant B
UGC05470,Leo I,Leeuw I
