iau_id,English,zh-CN
and,Andromeda,仙女
ant,Antlia,唧筒
aps,Apus,天燕
aql,Aquila,天鹰
aqr,Aquarius,宝瓶
ara,Ara,天坛
ari,Aries,白羊
aur,Auriga,御夫
boo,Bootes,牧夫
cae,Caelum,雕具
cam,Camelopardalis,鹿豹
cap,Capricornus,摩羯
car,Carina,船底
cas,Cassiopeia,仙后
cen,Centaurus,半人马
cep,Cepheus,仙王
cet,Cetus,鲸鱼
cha,Chamaeleon,蝘蜓
cir,Circinus,圆规
cma,Canis Major,大犬
cmi,Canis Minor,小犬
cnc,Cancer,巨蟹
col,Columba,天鸽
com,Coma Berenices,后发
cra,Corona Australis,南冕
crb,Corona Borealis,北冕
crt,Crater,巨爵
cru,Crux,南十字
crv,Corvus,乌鸦
cvn,Canes Venatici,猎犬
cyg,Cygnus,天鹅
del,Delphinus,海豚
dor,Dorado,剑鱼
dra,Draco,天龙
equ,Equuleus,小马
eri,Eridanus,波江
for,Fornax,天炉
gem,Gemini,双子
gru,Grus,天鹤
her,Hercules,武仙
hor,Horologium,时钟
hya,Hydra,长蛇
hyi,Hydrus,水蛇
ind,Indus,印第安
lac,Lacerta,蝎虎
leo,Leo,狮子
lep,Lepus,天兔
lib,Libra,天秤
lmi,Leo Minor,小狮
lup,Lupus,豺狼
lyn,Lynx,天猫
lyr,Lyra,天琴
men,Mensa,山案
mic,Microscopium,显微镜
mon,Monoceros,麒麟
mus,Musca,苍蝇
nor,Norma,矩尺
oct,Octans,南极
oph,Ophiuchus,蛇夫
ori,Orion,猎户
pav,Pavo,孔雀
peg,Pegasus,飞马
per,Perseus,英仙
phe,Phoenix,凤凰
pic,Pictor,绘架
psa,Piscis Austrinus,南鱼
psc,Pisces,双鱼
pup,Puppis,船尾
pyx,Pyxis,罗盘
ret,Reticulum,网罟
scl,Sculptor,玉夫
sco,Scorpius,天蝎
sct,Scutum,盾牌
ser1,Serpens Caput,巨蛇头
ser2,Serpens Cauda,巨蛇尾
sex,Sextans,六分仪
sge,Sagitta,天箭
sgr,Sagittarius,人马
tau,Taurus,金牛
tel,Telescopium,望远镜
tra,Triangulum Australe,南三角
tri,Triangulum,三角
tuc,Tucana,杜鹃
uma,Ursa Major,大熊
umi,Ursa Minor,小熊
vel,Vela,船帆
vir,Virgo,室女
vol,Volans,飞鱼
vul,Vulpecula,狐狸
