open_ngc_name,English,zh-CN
IC0348,Omi Per Cloud,英仙o星云
IC0349,Barnard's Merope Nebula,巴纳德昴宿五星云
IC0405,Flaming Star Nebula,烽火恒星云
IC0434,"Flame Nebula, Orion B",火焰星云
IC0443,Gem A,水母星云
IC1318,Gamma Cygni Nebula,天津一星云
IC2220,Toby Jug Nebula,托比壶星云
IC2391,Omicron Velorum Cluster,船帆座o星团
IC2431 NED02,Browning,布朗宁星系
IC2574,Coddington's Nebula,科丁顿星云
IC2602,Theta Carinae Cluster,南天七姐妹星团
IC2944,lam Cen Nebula,半人马λ星云
IC4604,rho Oph Nebula,心宿增四星云
IC4703,"Eagle Nebula, Star Queen",鹰状星云
IC4715,Small Sagittarius Star Cloud,人马座恒星云
IC5070,Pelican Nebula,鹈鹕星云
IC5146,Cocoon Nebula,茧状星云
NGC0040,Bow-Tie nebula,蝴蝶结星云
NGC0104,47 Tucanae,杜鹃座47
NGC0224,Andromeda Galaxy,仙女星系
NGC0246,"Skull Nebula, Caldwell 56",骷髅头星云
NGC0253,Sculptor Galaxy,银币星系
NGC0292,Small Magellanic Cloud,小麦哲伦云
NGC0457,Owl Cluster,猫头鹰星团
NGC0598,"Triangulum Galaxy, Triangulum Pinwheel",三角星系
NGC0650,"Barbell Nebula, Cork Nebula, Little Dumbbell Nebula",小哑铃星云
NGC0869,h Persei Cluster,英仙h星团
NGC0884,chi Persei Cluster,英仙χ星团
NGC1049,Fornax Dwarf Cluster 3,天炉矮星系球状星团3
NGC1275,Perseus A,英仙座A
NGC1316,Fornax A,天炉座A
NGC1317,Fornax B,天炉座B
NGC1432,Maia Nebula,昴宿四星云
NGC1435,Merope Nebula,昴宿五星云
NGC1499,California Nebula,加利福尼亚星云
NGC1555,"Hind's Nebula, Hind's Variable Nebula",欣德星云
NGC1909,the Witch Head Nebula,女巫头星云
NGC1952,Crab Nebula,蟹状星云
NGC1976,"Great Orion Nebula, Orion Nebula",猎户大星云
NGC1977,the Running Man Nebula,跑步者星云
NGC1980,Lower Sword,猎户座下半佩剑
NGC1981,Upper Sword,煤车星团
NGC1982,Mairan's Nebula,德·梅兰星云
NGC1990,Alnilam,参宿二星云
NGC2070,"30 Dor Cluster, Tarantula Nebula",蜘蛛星云
NGC2174,Monkey Head Nebula,猴头星云
NGC2237,Rosette A,玫瑰星云A
NGC2238,Rosette Nebula,玫瑰星云
NGC2246,Rosette B,玫瑰星云B
NGC2261,Hubble's Nebula,哈勃星云
NGC2264,Christmas Tree Cluster,圣诞树星团
NGC2301,Great Bird Cluster,大鸟星团
NGC2360,Caroline's Cluster,卡罗琳星团
NGC2392,Eskimo Nebula,爱斯基摩星云
NGC2537,"Bear Claw Nebula, Bear-Paw Galaxy",熊爪星系
NGC2573,Polarissima Australis,南极星系
NGC2632,"Beehive, Praesepe Cluster",蜂巢星团
NGC2685,Helix Galaxy,螺旋星系
NGC2736,Pencil Nebula,铅笔星云
NGC3031,Bode's Galaxy,波德星系
NGC3034,Cigar Galaxy,雪茄星系
NGC3115,Spindle Galaxy,纺锤星系
NGC3132,Eight-Burst Nebula,八裂星云
NGC3172,Polarissima Borealis,北极星系
NGC3242,Jupiter's Ghost Nebula,木魂星云
NGC3372,"Carina Nebula, eta Car Nebula",船底星云
NGC3532,Wishing Well Cluster,许愿井星团
NGC3561,the Guitar,吉他星系
NGC3587,Owl Nebula,猫头鹰星云
NGC3766,Pearl Cluster,珍珠星团
NGC3918,Blue Planetary,蓝行星状星云
NGC3928,Miniature Spiral,迷你螺旋星系
NGC4038,Antennae Galaxies,触须星系
NGC4039,Antennae Galaxies,触须星系
NGC4194,Medusa Galaxy Merger,美杜莎星系
NGC4254,"Coma Pinwheel, Virgo Cluster Pinwheel",后发座星系
